"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","MLY-CLDD-BASE40","MLY-CLDD-BASE45","MLY-CLDD-BASE50","MLY-CLDD-BASE55","MLY-CLDD-BASE57","MLY-CLDD-BASE60","MLY-CLDD-BASE70","MLY-CLDD-BASE72","MLY-CLDD-NORMAL","MLY-DUTR-NORMAL","MLY-DUTR-STDDEV","MLY-GRDD-BASE40","MLY-GRDD-BASE45","MLY-GRDD-BASE50","MLY-GRDD-BASE55","MLY-GRDD-BASE57","MLY-GRDD-BASE60","MLY-GRDD-BASE65","MLY-GRDD-BASE70","MLY-GRDD-BASE72","MLY-GRDD-TB4886","MLY-GRDD-TB5086","MLY-HTDD-BASE40","MLY-HTDD-BASE45","MLY-HTDD-BASE50","MLY-HTDD-BASE55","MLY-HTDD-BASE57","MLY-HTDD-BASE60","MLY-HTDD-NORMAL","MLY-PRCP-20PCTL","MLY-PRCP-25PCTL","MLY-PRCP-33PCTL","MLY-PRCP-40PCTL","MLY-PRCP-50PCTL","MLY-PRCP-60PCTL","MLY-PRCP-67PCTL","MLY-PRCP-75PCTL","MLY-PRCP-80PCTL","MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-NORMAL","MLY-SNOW-20PCTL","MLY-SNOW-25PCTL","MLY-SNOW-33PCTL","MLY-SNOW-40PCTL","MLY-SNOW-50PCTL","MLY-SNOW-60PCTL","MLY-SNOW-67PCTL","MLY-SNOW-75PCTL","MLY-SNOW-80PCTL","MLY-SNOW-AVGNDS-GE001TI","MLY-SNOW-AVGNDS-GE010TI","MLY-SNOW-AVGNDS-GE020TI","MLY-SNOW-AVGNDS-GE030TI","MLY-SNOW-AVGNDS-GE040TI","MLY-SNOW-AVGNDS-GE050TI","MLY-SNOW-AVGNDS-GE100TI","MLY-SNOW-AVGNDS-GE200TI","MLY-SNOW-NORMAL","MLY-SNWD-AVGNDS-GE001WI","MLY-SNWD-AVGNDS-GE002WI","MLY-SNWD-AVGNDS-GE003WI","MLY-SNWD-AVGNDS-GE004WI","MLY-SNWD-AVGNDS-GE005WI","MLY-SNWD-AVGNDS-GE010WI","MLY-SNWD-AVGNDS-GE020WI","MLY-TAVG-NORMAL","MLY-TAVG-STDDEV","MLY-TMAX-AVGNDS-GRTH032","MLY-TMAX-AVGNDS-GRTH040","MLY-TMAX-AVGNDS-GRTH050","MLY-TMAX-AVGNDS-GRTH060","MLY-TMAX-AVGNDS-GRTH070","MLY-TMAX-AVGNDS-GRTH080","MLY-TMAX-AVGNDS-GRTH090","MLY-TMAX-AVGNDS-GRTH100","MLY-TMAX-AVGNDS-LSTH032","MLY-TMAX-NORMAL","MLY-TMAX-STDDEV","MLY-TMIN-AVGNDS-LSTH000","MLY-TMIN-AVGNDS-LSTH010","MLY-TMIN-AVGNDS-LSTH020","MLY-TMIN-AVGNDS-LSTH032","MLY-TMIN-AVGNDS-LSTH040","MLY-TMIN-AVGNDS-LSTH050","MLY-TMIN-AVGNDS-LSTH060","MLY-TMIN-AVGNDS-LSTH070","MLY-TMIN-NORMAL","MLY-TMIN-PRBOCC-LSTH016","MLY-TMIN-PRBOCC-LSTH020","MLY-TMIN-PRBOCC-LSTH024","MLY-TMIN-PRBOCC-LSTH028","MLY-TMIN-PRBOCC-LSTH032","MLY-TMIN-PRBOCC-LSTH036","MLY-TMIN-STDDEV","day","hour","month"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US"," 33.6300"," -84.4417"," 307.8","01","   207.7","   115.7","    56.6","    22.1","    13.7","     5.7","     0.0","     0.0","     0.6","    18.5","     1.7","   207.7","   115.7","    56.6","    22.1","    13.7","     5.7","     0.6","     0.0","     0.0","   131.7","   107.2","    58.7","   121.8","   217.6","   338.1","   391.8","   476.8","   626.7","    2.87","    3.29","    3.51","    3.95","    4.78","    5.11","    5.14","    5.35","    5.44","    11.1","     7.3","     5.1","     3.2","     1.3","     0.2","     0.0","     0.0","    4.59","     0.0","     0.0","     0.0","     0.0","     0.0","     0.3","     0.9","     1.6","     2.2","     0.7","     0.4","     0.3","     0.1","     0.0","     0.0","     0.0","     0.0","     1.0","     0.7","     0.5","     0.2","     0.0","     0.0","     0.0","     0.0","    44.8","     3.7","    30.4","    28.0","    20.4","     9.6","     1.5","     0.0","     0.0","     0.0","     0.8","    54.0","     3.7","     0.0","     0.1","     2.5","    12.8","    21.5","    28.5","    30.9","    31.0","    35.6","    39.0","    59.5","    82.3","    95.4","    99.4","   100.0","     3.9","99","99","01"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US"," 33.6300"," -84.4417"," 307.8","02","   261.3","   157.9","    83.4","    36.3","    23.6","    10.9","     0.1","     0.0","     2.0","    19.3","     1.9","   261.3","   157.9","    83.4","    36.3","    23.6","    10.9","     2.0","     0.1","     0.0","   167.8","   141.0","    21.8","    58.4","   123.9","   216.8","   260.1","   331.5","   462.5","    3.01","    3.54","    3.75","    3.82","    4.14","    4.33","    4.60","    5.56","    6.24","    10.4","     6.9","     5.3","     3.3","     1.4","     0.3","     0.0","     0.0","    4.55","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.2","     0.3","     0.1","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.4","     0.1","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","    48.5","     3.9","    27.8","    27.0","    21.9","    13.2","     3.6","     0.1","     0.0","     0.0","     0.2","    58.2","     4.0","     0.0","     0.1","     0.5","     7.7","    16.9","    24.7","    27.7","    28.0","    38.9","    10.5","    27.8","    53.4","    80.8","    95.1","    98.8","     4.0","99","99","02"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US"," 33.6300"," -84.4417"," 307.8","03","   489.0","   346.2","   222.4","   124.2","    92.9","    55.8","     2.4","     0.6","    17.1","    20.6","     1.7","   489.0","   346.2","   222.4","   124.2","    92.9","    55.8","    17.1","     2.4","     0.6","   320.9","   280.2","     5.4","    17.6","    48.9","   105.6","   136.2","   192.2","   308.5","    2.68","    2.94","    3.25","    3.59","    4.41","    5.30","    5.75","    6.38","    7.00","    10.5","     6.7","     5.1","     3.1","     1.6","     0.2","     0.0","     0.0","    4.68","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.1","     0.1","     0.1","     0.1","     0.1","     0.0","     0.0","     0.0","     0.4","     0.1","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","    55.6","     3.7","    31.0","    30.8","    28.9","    22.1","    12.0","     1.9","     0.0","     0.0","     0.0","    65.9","     3.8","     0.0","     0.0","     0.2","     3.0","     9.9","    21.5","    29.5","    31.0","    45.3","     2.1","     7.5","    23.2","    47.1","    77.0","    94.9","     3.7","99","99","03"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US"," 33.6300"," -84.4417"," 307.8","04","   694.6","   545.6","   400.0","   264.2","   214.7","   148.0","    17.0","     7.1","    64.2","    21.3","     1.6","   694.6","   545.6","   400.0","   264.2","   214.7","   148.0","    64.2","    17.0","     7.1","   477.8","   427.6","     0.1","     1.0","     5.4","    19.7","    30.1","    53.5","   119.7","    2.55","    2.67","    2.87","    3.04","    3.26","    3.92","    4.62","    5.26","    5.39","     8.9","     6.1","     4.5","     2.5","     1.0","     0.2","     0.1","     0.0","    3.81","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","    63.2","     2.7","    30.0","    30.0","    29.8","    28.5","    21.1","     7.8","     0.0","     0.0","     0.0","    73.8","     2.5","     0.0","     0.0","     0.0","     0.2","     2.7","    11.7","    24.6","    30.0","    52.5","     0.0","     0.0","     0.0","     2.0","    14.7","    44.0","     3.0","99","99","04"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US"," 33.6300"," -84.4417"," 307.8","05","   967.2","   812.2","   657.2","   502.8","   441.6","   352.0","   100.6","    65.0","   214.0","    19.7","     1.6","   967.2","   812.2","   657.2","   502.8","   441.6","   352.0","   214.0","   100.6","    65.0","   709.8","   649.5","     0.0","     0.0","     0.1","     0.7","     1.4","     4.8","    21.9","    2.10","    2.13","    2.29","    2.71","    3.12","    3.45","    4.27","    4.45","    4.55","     9.4","     6.1","     3.9","     2.7","     1.0","     0.1","     0.0","     0.0","    3.56","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","    71.2","     2.4","    31.0","    31.0","    31.0","    30.9","    28.8","    19.5","     2.0","     0.0","     0.0","    81.1","     2.3","     0.0","     0.0","     0.0","     0.0","     0.0","     2.6","    11.7","    29.6","    61.3","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     2.7","99","99","05"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US"," 33.6300"," -84.4417"," 307.8","06","  1135.4","   985.4","   835.4","   685.4","   625.4","   535.5","   240.7","   185.1","   386.5","    18.4","     2.0","  1135.4","   985.4","   835.4","   685.4","   625.4","   535.5","   386.5","   240.7","   185.1","   853.3","   793.3","     0.0","     0.0","     0.0","     0.0","     0.0","     0.1","     1.1","    2.42","    2.68","    3.15","    3.63","    3.94","    5.14","    5.82","    6.01","    6.51","    11.1","     7.5","     5.3","     3.3","     1.2","     0.2","     0.0","     0.0","    4.54","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","    77.9","     2.1","    30.0","    30.0","    30.0","    30.0","    29.7","    27.3","     9.9","     0.1","     0.0","    87.1","     2.9","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     1.5","    19.8","    68.6","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     1.6","99","99","06"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US"," 33.6300"," -84.4417"," 307.8","07","  1269.4","  1114.4","   959.4","   804.4","   742.4","   649.4","   339.5","   277.9","   494.4","    18.3","     1.9","  1269.4","  1114.4","   959.4","   804.4","   742.4","   649.4","   494.4","   339.5","   277.9","   950.2","   888.2","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","    2.48","    2.60","    2.68","    2.85","    3.48","    4.46","    4.81","    5.27","    6.09","    12.0","     7.5","     4.8","     2.9","     1.4","     0.4","     0.1","     0.0","    4.75","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","    80.9","     1.7","    31.0","    31.0","    31.0","    31.0","    31.0","    30.3","    16.4","     0.4","     0.0","    90.1","     2.6","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.1","     8.8","    71.8","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     1.2","99","99","07"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US"," 33.6300"," -84.4417"," 307.8","08","  1244.5","  1089.5","   934.5","   779.5","   717.5","   624.6","   315.4","   254.7","   469.7","    17.7","     1.7","  1244.5","  1089.5","   934.5","   779.5","   717.5","   624.6","   469.7","   315.4","   254.7","   936.9","   874.9","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.1","    2.74","    3.13","    3.48","    3.71","    4.10","    4.81","    5.32","    5.72","    5.81","    10.2","     6.5","     4.4","     2.9","     1.4","     0.2","     0.0","     0.0","    4.30","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","    80.2","     2.2","    31.0","    31.0","    31.0","    31.0","    30.9","    29.7","    13.7","     0.4","     0.0","    89.0","     2.7","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.2","    11.1","    71.3","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     1.8","99","99","08"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US"," 33.6300"," -84.4417"," 307.8","09","  1046.9","   896.9","   746.9","   596.9","   537.0","   447.7","   169.6","   123.7","   302.3","    18.0","     2.2","  1046.9","   896.9","   746.9","   596.9","   537.0","   447.7","   302.3","   169.6","   123.7","   783.2","   723.5","     0.0","     0.0","     0.0","     0.0","     0.2","     0.8","     5.4","    1.57","    2.07","    2.38","    2.65","    3.37","    4.04","    4.27","    4.73","    5.08","     7.3","     4.8","     3.3","     2.4","     1.0","     0.4","     0.1","     0.0","    3.82","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","    74.9","     2.6","    30.0","    30.0","    30.0","    30.0","    29.1","    22.1","     4.9","     0.0","     0.0","    83.9","     3.1","     0.0","     0.0","     0.0","     0.0","     0.0","     0.5","     5.8","    23.4","    65.9","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     2.4","99","99","09"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US"," 33.6300"," -84.4417"," 307.8","10","   764.3","   610.0","   458.4","   314.3","   260.8","   187.2","    28.0","    16.1","    87.8","    19.5","     2.3","   764.3","   610.0","   458.4","   314.3","   260.8","   187.2","    87.8","    28.0","    16.1","   531.6","   477.3","     0.1","     0.8","     4.2","    15.1","    23.6","    43.0","    98.6","    1.37","    1.74","    2.12","    2.45","    2.71","    3.39","    3.56","    3.86","    4.56","     6.8","     4.3","     2.9","     1.8","     1.0","     0.4","     0.1","     0.0","    3.28","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","    64.7","     2.2","    31.0","    31.0","    30.9","    29.7","    22.9","     8.0","     0.3","     0.0","     0.0","    74.4","     2.5","     0.0","     0.0","     0.0","     0.1","     1.7","     9.7","    23.0","    30.5","    54.9","     0.0","     0.0","     0.0","     0.0","     2.9","    20.8","     2.5","99","99","10"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US"," 33.6300"," -84.4417"," 307.8","11","   428.5","   291.8","   176.0","    91.1","    65.7","    36.5","     1.2","     0.2","    10.4","    19.9","     1.8","   428.5","   291.8","   176.0","    91.1","    65.7","    36.5","    10.4","     1.2","     0.2","   275.1","   237.9","     3.9","    17.2","    51.4","   116.5","   151.1","   212.0","   335.9","    2.39","    2.65","    2.92","    3.11","    3.31","    3.92","    4.24","    5.28","    5.53","     7.9","     5.8","     4.1","     2.6","     1.2","     0.3","     0.0","     0.0","    3.98","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","    54.2","     3.4","    30.0","    29.9","    28.1","    20.5","     8.6","     0.6","     0.0","     0.0","     0.0","    64.1","     3.7","     0.0","     0.0","     0.0","     2.9","    11.0","    23.0","    28.7","    30.0","    44.2","     0.0","     1.0","    11.1","    38.1","    73.5","    92.9","     3.3","99","99","11"
"USW00013874","ATLANTA HARTSFIELD INTL AP, GA US"," 33.6300"," -84.4417"," 307.8","12","   255.5","   148.4","    75.8","    33.0","    22.3","    11.2","     0.1","     0.0","     1.9","    17.7","     1.9","   255.5","   148.4","    75.8","    33.0","    22.3","    11.2","     1.9","     0.1","     0.0","   158.0","   129.9","    29.1","    77.0","   159.4","   271.6","   323.0","   404.8","   550.5","    2.49","    2.64","    2.90","    3.38","    4.26","    4.57","    4.90","    5.21","    5.60","    10.7","     7.0","     5.0","     3.0","     1.4","     0.3","     0.0","     0.0","    4.57","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.4","     0.2","     0.1","     0.0","     0.0","     0.0","     0.0","     0.0","     0.4","     0.3","     0.1","     0.0","     0.0","     0.0","     0.0","     0.0","    47.3","     4.1","    30.8","    29.7","    22.9","    11.1","     2.8","     0.0","     0.0","     0.0","     0.2","    56.2","     4.1","     0.0","     0.0","     0.6","     9.1","    19.0","    27.4","    30.5","    31.0","    38.4","    13.1","    32.8","    56.6","    80.2","    94.3","    98.8","     4.3","99","99","12"
